year,t_sum,ws_sum,t_col,ws_col
1979,-39.404207,44.352573,-33.939015,35.202403
1979,-40.410407,36.584348,-33.681446,30.952078
1979,-41.632496,36.375028,-35.551066,30.619583
1979,-40.875024,41.92523,-36.707333,36.662846
1979,-40.509855,41.00229,-37.128382,33.229591
1979,-39.720832,46.653218,-37.187237,38.91158
1979,-36.707878,46.168338,-35.85157,39.88345
1979,-34.590163,49.371122,-33.173068,43.231073
1979,-34.739252,48.718107,-32.741716,39.943186
1979,-34.788102,50.613866,-32.276183,42.617165
1979,-33.401302,54.467242,-30.944681,44.56689
1979,-33.284911,50.558581,-30.430447,43.413855
1979,-34.268171,49.259193,-31.642671,40.728646
1979,-33.977621,46.104597,-31.952561,36.925152
1979,-34.691527,50.34668,-33.289862,36.632065
1979,-35.736826,50.320536,-32.708382,40.143626
1979,-37.679294,47.01936,-33.262961,39.191947
1979,-39.394697,46.770573,-34.493241,40.221589
1979,-39.78168,45.804463,-35.185836,39.266877
1979,-37.956993,44.048317,-34.745662,38.841272
1979,-38.691714,39.749966,-35.092776,36.677002
1979,-38.863168,43.805297,-34.66959,39.438719
1979,-40.774364,40.899547,-35.563896,36.69081
1979,-40.578559,41.89447,-35.379657,37.625763
1979,-39.530128,34.461334,-35.111515,30.905408
1979,-38.399848,37.175238,-34.108133,32.777189
1979,-36.855477,39.692112,-33.706023,32.304625
1979,-35.345695,43.239433,-32.079236,36.288961
1979,-35.807326,43.356436,-32.419576,38.16595
1979,-38.247166,43.144886,-34.819427,39.934934
1979,-39.105481,38.945169,-34.58659,34.610046
1979,-39.320296,33.814957,-33.941824,29.393245
1979,-39.79078,33.04,-33.166507,26.166246
1979,-38.996465,33.745455,-32.932761,27.353311
1979,-37.688519,29.723829,-31.755624,26.127439
1979,-38.760983,30.173506,-32.289408,24.637791
1979,-38.770023,29.658098,-32.227276,23.804528
1979,-39.982074,32.027071,-32.983532,26.862172
1979,-39.034002,25.635095,-32.354804,23.635708
1979,-38.321777,31.637357,-31.403534,26.759591
1979,-37.793564,30.996126,-30.562035,25.589039
1979,-37.06357,28.559157,-30.725968,23.621112
1979,-35.267016,34.601866,-30.122233,28.644194
1979,-34.991596,37.43199,-29.397431,33.349969
1979,-33.136543,36.43371,-29.23114,28.864021
1979,-32.222227,40.523866,-28.794346,31.440144
1979,-31.690899,41.894413,-27.693955,32.211025
1979,-31.071177,43.761246,-27.208924,35.082736
1979,-30.901557,46.096343,-27.079145,36.533068
1979,-30.880329,48.034659,-27.215761,37.803234
1979,-31.103396,49.373262,-26.822372,40.779972
1979,-31.985593,48.79845,-27.152103,41.546391
1979,-32.814586,51.356476,-27.205072,43.935035
1979,-34.56544,50.829515,-28.91127,43.875697
1979,-35.963927,46.069921,-29.678036,38.896382
1979,-36.730697,46.527792,-30.637669,40.807179
1979,-37.221773,43.598035,-30.854592,37.920046
1979,-38.253784,46.469085,-31.708609,41.581487
1979,-38.318848,41.981206,-32.692727,36.298535
1979,-38.586795,46.820813,-32.907735,39.602759
1979,-39.755989,44.219401,-33.591051,38.944019
1979,-41.612424,46.58106,-35.909646,44.15137
1979,-41.206984,51.490958,-36.397248,47.111218
1979,-37.920412,45.829147,-34.757003,45.398174
1979,-36.57532,36.935248,-32.716648,34.023166
1979,-37.646124,47.136789,-32.400267,43.664053
1979,-35.327707,47.956443,-31.244856,38.631736
1979,-31.76719,49.633626,-28.99844,41.993885
1979,-30.829294,55.210331,-28.428786,43.13029
1979,-31.349641,50.171151,-29.418676,40.256378
1979,-30.344723,49.713744,-28.530375,38.251795
1979,-30.443082,49.791589,-26.907797,42.229526
1979,-30.02039,53.005759,-26.971892,43.855588
1979,-30.33014,50.762346,-26.901694,43.588516
1979,-29.816213,53.57991,-25.731055,43.258225
1979,-29.761063,57.301718,-26.053486,45.552288
1979,-31.271245,54.980013,-26.949957,42.391558
1979,-34.788781,58.37776,-28.944903,50.902245
1979,-35.798256,47.795657,-28.043988,45.767323
1979,-35.712325,44.293072,-28.385417,41.571874
1979,-35.541487,48.13457,-28.578836,43.983567
1979,-34.457316,63.496477,-28.98168,52.813605
1979,-34.987967,54.393464,-27.738329,50.215409
1979,-38.09858,53.818939,-31.2171,48.392462
1979,-38.035753,46.341625,-32.628936,39.395654
1979,-35.943192,61.608318,-30.144775,53.034205
1979,-35.101363,52.144581,-28.504745,44.569775
1979,-34.820707,49.602345,-27.976443,43.887821
1979,-34.690733,52.390083,-27.59133,44.336988
1979,-33.903238,51.581177,-26.648034,45.82721
1979,-33.141624,44.967171,-26.333197,38.547003
1979,-33.631308,46.891058,-26.448163,41.17477
1979,-34.48445,47.71069,-27.574101,41.012724
1979,-34.198088,44.620012,-27.971194,40.067609
1979,-34.414555,42.290194,-27.923503,35.990688
1979,-36.115263,43.94535,-28.909991,38.921804
1979,-35.51879,46.514982,-29.345804,41.859786
1979,-36.621516,50.100275,-31.059415,43.499258
1979,-35.198317,47.782445,-29.950297,42.428695
1979,-33.671691,45.176543,-28.369245,39.220314
1979,-34.230217,43.670674,-28.435895,33.194122
1979,-32.686075,48.540721,-27.571486,37.812724
1979,-33.715809,46.767078,-27.571695,39.167392
1979,-33.817328,47.937204,-28.40242,39.645833
1979,-33.991235,49.970783,-28.291884,42.488081
1979,-34.98387,45.500036,-28.249897,41.444853
1979,-35.335213,44.499969,-28.816137,39.885161
1979,-35.828009,43.016243,-29.648016,37.410841
1979,-37.223784,38.724635,-30.788764,32.836162
1979,-37.671086,40.756499,-31.756494,32.898915
1979,-35.960398,41.370815,-30.315012,29.912993
1979,-34.660748,39.812579,-27.548835,33.911371
1979,-35.474275,32.203319,-28.237373,26.668354
1979,-34.619168,33.07465,-28.472755,26.016623
1979,-34.871241,41.054664,-29.115741,34.007171
1979,-33.950764,48.326298,-28.711047,42.260887
1979,-33.72994,49.689012,-28.526936,41.726982
1979,-34.062682,45.213598,-28.531931,38.387354
1979,-34.082544,38.334698,-28.166491,32.387377
1979,-34.32888,37.837709,-28.673276,29.938135
