elev,lat,lon,yrst,yrstp,notes
6.1,59.88,-1.29,1977,2019,
24.7,60.43,-1.29,1981,2019,
57,59.53,-1.63,1973,2019,
12,59.08,-4.4,1973,2019,
15.5,58.96,-2.9,1973,2019,
11.3,53.58,-3.05,2005,2019,
5.8,57.48,-7.36,1973,2019,
4,57.33,-7.36,1992,2019,
7.9,58.22,-6.33,1929,2019,
264,57.72,-4.88,1992,2019,
10,57.87,-5.63,1986,2019,
773,57.42,-5.68,1989,2019,
1130,56.82,-4.96,1992,2019,
80,58.28,-4.43,1993,2019,
249,56.87,-4.7,1983,2019,
9.4,57.54,-4.04,1973,2019,
4,57.82,-3.96,1989,2019,
1245,57.12,-3.63,1985,2019,
6.7,57.65,-3.56,1973,2019,
12.8,57.71,-3.33,1973,2019,
38.4,58.46,-3.09,1929,2019,
43.9,50.96,-2.93,2018,2019,
140,57.08,-2.83,1989,2019,
134,56.85,-2.26,1987,2019,
65.5,57.2,-2.19,1926,2019,
11.6,56.5,-6.86,1929,2019,
17,55.68,-6.25,2001,2019,
10,55.43,-5.7,1973,2019,
4,56.42,-5.46,1978,2019,
12,54.85,-4.95,1983,2019,
59,55.9,-4.53,2003,2019,
19.8,55.51,-4.58,1944,2019,
27,55.52,-4.58,1993,2019,
12.8,55.44,-5.68,1999,2019,
7.9,55.87,-4.43,1929,2019,
470,61.62,1.3,2012,2019,
470,59.73,1.66,2012,2019,
470,59.27,1.5,2012,2019,
470,58.03,1.4,2012,2019,
470,57.37,1.98,2012,2019,
470,57.28,1.65,2012,2019,
470,54.02,1.1,2012,2019,
470,53.7,1.13,2012,2019,
470,60.68,-2.53,2013,2019,
470,54.03,0.71,2013,2019,
35,56.32,-3.73,1989,2019,
564,56.42,-4.31,1996,2019,
41.1,55.95,-3.37,1973,2019,
5.2,56.45,-3.02,1983,2019,
325,55.05,-2.55,1992,2019,
57,55.93,-3.35,2003,2019,
11.6,56.37,-2.86,1929,2019,
16.8,54.08,-4.62,1973,2019,
123,54.52,-3.6,1984,2019,
14.3,54.13,-3.26,1983,2019,
16.8,53.75,-2.88,2011,2019,
57.9,54.94,-2.8,1973,2019,
286,55.05,-2.55,1992,2019,
227,54.57,-2.41,1983,2019,
847,54.68,-2.45,1994,2019,
212,55.28,-2.28,1983,2019,
21.3,55.42,-1.6,1975,2019,
81.1,55.04,-1.69,1988,2019,
40.2,54.29,-1.53,1973,2019,
36.6,54.51,-1.42,1973,2019,
28,54.21,-1.38,1994,2019,
16.2,54.05,-1.25,1973,2019,
19,54.1,-0.16,1987,2019,
11.3,53.25,-4.53,1926,2019,
215,53.1,-3.93,1994,2019,
76,53.25,-3.5,1986,2019,
10.4,53.77,-3.02,1973,2019,
13.7,53.18,-2.97,1985,2019,
24.4,53.33,-2.85,1990,2019,
299,53.13,-1.98,2004,2019,
78.3,53.35,-2.27,1933,2019,
267,53.82,-1.86,1973,2019,
267,53.6,-1.66,1976,2019,
207.6,53.87,-1.66,1988,2019,
119,50.43,-4.98,2009,2019,
35,53.37,-2.38,2012,2019,
111.9,52.96,-0.56,1995,2019,
61.6,53.31,-0.55,1973,2019,
36.9,53.57,-0.35,1975,2019,
70.4,53.17,-0.52,1950,2019,
66.4,53.03,-0.48,1929,2019,
6,53.87,-0.43,1981,2019,
8,53.47,0.06,1992,2019,
3,53.48,0.15,2011,2019,
7.6,53.09,-0.16,1943,2019,
5,53.08,0.26,1984,2019,
7,53.57,0.11,2017,2019,
16.8,53.48,-1,2005,2019,
359,52.75,-3.46,1994,2019,
75.9,52.8,-2.66,1973,2019,
82.9,52.64,-2.3,1994,2019,
93.3,52.83,-1.32,1973,2019,
83.2,52.61,-0.47,1973,2019,
3,52.87,0.15,1985,2019,
22.9,52.65,0.55,1949,2019,
35.7,52.68,1.28,1987,2019,
134,52.13,-4.56,1973,2019,
307,52.07,-3.61,1984,2019,
99,52.25,-2.88,1992,2019,
99.7,52.45,-1.74,1973,2019,
106,52.37,-1.33,1983,2019,
109.1,52.07,-0.61,1990,2019,
17.1,55.68,-6.25,2004,2019,
14.3,52.21,0.17,1977,2019,
10,52.37,0.48,1999,2019,
10,52.42,0.56,1999,2019,
86.6,52.13,0.95,1973,2019,
32,51.7,-5.05,1973,2019,
3,51.72,-4.36,1993,2019,
32,51.57,-3.98,1973,2019,
30.8,51.89,-2.16,1977,2019,
87.2,51.68,-1.79,1952,2019,
210,51.87,-1.68,1984,2019,
87.8,51.75,-1.58,1951,2019,
68.9,51.62,-1.09,1973,2019,
180.7,51.44,-2.28,1942,2019,
205,51.68,-0.8,1997,2019,
37.8,51.55,-0.41,1973,2019,
160.3,51.88,-0.36,1988,2019,
106.1,51.89,0.23,1973,2019,
14.9,51.57,0.69,1988,2019,
3,51.55,0.83,1929,2019,
8.2,51.09,-4.15,1973,2019,
67.1,51.4,-3.34,1973,2019,
49.7,51.41,-3.43,1996,2019,
189.6,51.38,-2.71,1988,2019,
156.4,51.51,-1.99,1973,2019,
124.1,51.15,-1.74,1931,2019,
91,51.15,-1.56,1973,2019,
123.4,51.23,-0.94,1973,2019,
74,51.38,-0.78,1973,2019,
182.3,51.33,0.03,1988,2019,
72.5,51.28,-0.77,1988,2019,
5.8,51.51,0.05,1988,2019,
5,51.5,-0.11,2009,2019,
25.3,51.48,-0.46,1948,2019,
61.6,51.15,-0.19,1973,2019,
170,51.3,-0.08,1988,2019,
117,51.13,1.35,1973,2019,
50,51.35,1.33,1930,2019,
31,49.92,-6.3,1986,2019,
63,50.06,-5.7,1973,2019,
81.4,50.09,-5.25,1973,2019,
199,50.5,-4.66,1987,2019,
27,50.35,-4.11,1973,2019,
31.1,50.73,-3.41,1973,2019,
253,50.87,-3.23,1991,2019,
22.9,51.01,-2.63,1973,2019,
52,50.52,-2.45,1973,2019,
11.6,50.78,-1.84,1973,2019,
13.4,50.95,-1.35,1973,2019,
24,50.58,-1.3,1973,2019,
3,50.82,-0.91,1984,2019,
2.1,50.84,-0.29,1986,2019,
52,50.9,0.31,1992,2019,
4,50.96,0.93,1988,2019,
88.4,49.71,-2.21,1987,2019,
102.4,49.44,-2.6,1929,2019,
84.4,49.21,-2.19,1973,2019,
54,49.2,-2.1,1984,2019,
6,55.15,-6.93,2011,2019,
6.7,55.04,-7.16,1990,2019,
227,54.72,-6.81,1994,2019,
156,55.18,-6.16,1987,2019,
81.7,54.66,-6.21,1930,2019,
160,54.23,-6.5,1985,2019,
4.6,54.62,-5.87,1973,2019,
21,51.47,-9.41,2009,2019,
41,51.8,-8.25,1929,2019,
30,51.93,-10.25,1926,2019,
153,51.84,-8.49,1973,2019,
53,52.28,-6.48,2007,2019,
63,52.85,-6.9,2008,2019,
14,52.7,-8.92,1973,2019,
23,53.32,-9.9,2009,2019,
97.2,53.3,-6.45,1987,2019,
68,53.43,-6.25,2016,2019,
73.8,53.42,-6.27,1973,2019,
202.7,53.91,-8.81,1929,2019,
25,55.37,-7.33,1926,2019,
8,65.08,-22.73,1973,2019,
2.4,66.06,-23.13,2009,2019,
52.1,63.97,-22.6,1942,2019,
14.6,64.13,-21.94,1931,2019,
99.4,63.42,-20.27,1931,2019,
1.8,65.66,-18.07,1931,2019,
16,66.53,-18.01,1913,2019,
5.5,65.64,-23.54,2013,2019,
10,66.45,-15.95,1949,2019,
7.3,64.3,-15.22,1973,2019,
48,65.75,-14.83,1975,2019,
23.2,65.28,-14.4,1949,2019,
31,65.68,-18.11,2008,2019,
59.3,66.51,-16.54,1963,2019,
92.4,65.28,-14,1980,2019,
76.5,76.53,-68.7,1951,2019,
27,68.72,-52.8,2004,2019,
31,69.23,-51.06,1996,2019,
89,70.73,-52.7,2004,2019,
11,76.63,-73,1973,2019,
16,77.48,-69.38,1973,2019,
40,74.03,-57.81,1982,2019,
129,72.78,-56.13,2004,2019,
27,70.68,-54.61,1982,2019,
24,69.33,-53.58,1973,2019,
41,68.7,-52.85,1943,2019,
12,67.78,-53.96,1983,2019,
50.3,67.02,-50.68,1941,2019,
8,66.95,-53.71,2004,2019,
84,64.17,-51.75,1949,2019,
22,62.57,-50.41,1982,2019,
13,61.98,-49.7,1996,2019,
34.1,61.16,-45.42,1941,2019,
34,60.72,-46.05,1936,2019,
16,59.98,-45.2,1981,2019,
4,83.65,-33.36,1981,2019,
36,81.6,-16.65,1985,2019,
10,80.65,-13.71,1984,2019,
12,76.77,-18.66,1949,2019,
44,74.3,-20.21,1945,2019,
69,70.48,-21.95,1936,2019,
10,70.75,-22.65,1986,2019,
23,67.78,-32.28,1987,2019,
52,65.6,-37.63,1936,2019,
37,65.58,-37.15,1943,2019,
19,60.03,-43.11,1943,2019,
23,61.53,-6.76,2016,2019,
85.3,62.06,-7.27,1974,2019,
958,-17.63,24.17,2016,2019,
21,55.5,7.86,2009,2019,
10,55.6,7.62,2009,2019,
43,55.72,4.8,2005,2019,
96,55.58,4.75,2012,2019,
94.5,55.53,5,2012,2019,
95.1,55.72,4.8,2012,2019,
95,56.34,4.27,2012,2019,
3,57.09,9.84,1940,2019,
28,57.5,10.22,1982,2019,
89,56.57,10.1,2001,2019,
5,56,8.15,1989,2019,
51.8,56.3,9.12,1973,2019,
33,56.75,9.5,1978,2019,
5.2,55.99,8.35,1973,2019,
25,56.3,10.61,1973,2019,
6,56.1,10.51,1977,2019,
55,56.08,10.13,1977,2019,
29.6,55.53,8.55,1973,2019,
4,55.3,8.66,2012,2019,
75.3,55.74,9.15,1973,2019,
43.6,55.44,9.33,1990,2019,
