,elev,lat,lon,yrst,yrstp
404,22.8,59.817,23.58,2008.0,2019.0
405,44.2,60.417,24.4,2008.0,2019.0
406,23.5,60.4,25.6,2008.0,2019.0
407,306.5,66.167,29.13,2014.0,2019.0
408,29.0,61.15,21.3,2008.0,2019.0
409,39.0,61.267,22.25,2008.0,2010.0
410,86.0,61.467,23.75,2008.0,2019.0
411,270.0,68.0,24.21,2014.0,2019.0
412,83.2,61.7,25.5,2008.0,2019.0
413,236.5,63.15,31.05,2012.0,2019.0
414,125.0,61.05,25.05,2008.0,2019.0
415,92.0,61.2,26.05,2008.0,2019.0
416,93.0,62.417,22.18,2008.0,2019.0
417,153.0,61.85,24.28,2008.0,2019.0
418,146.0,61.883,26.1,2008.0,2019.0
419,80.0,62.067,28.56,2008.0,2019.0
420,9.1,60.45,22.18,2008.0,2019.0
421,117.0,60.467,23.65,2004.0,2019.0
422,79.5,61.8,29.31,2008.0,2019.0
423,2.8,62.933,21.18,2008.0,2019.0
424,129.0,61.183,25.03,2008.0,2009.0
425,171.4,63.083,24.26,2008.0,2019.0
426,91.3,63.15,27.31,2008.0,2019.0
427,165.5,63.383,28.66,2008.0,2019.0
428,22.5,60.25,20.75,2003.0,2019.0
429,115.0,63.233,29.23,2008.0,2019.0
430,79.5,62.55,29.66,2008.0,2019.0
431,2.0,59.917,24.35,2008.0,2019.0
432,6.4,60.1,24.98,2008.0,2019.0
433,98.0,63.317,30.05,2008.0,2019.0
434,112.0,64.15,25.41,2008.0,2019.0
435,115.0,63.667,28.83,2008.0,2019.0
436,198.4,64.3,30.16,2008.0,2019.0
437,23.8,64.617,23.9,2008.0,2019.0
438,482.7,69.05,20.78,1979.0,2019.0
439,49.5,64.683,25.08,2008.0,2019.0
440,197.0,65.583,28.21,2008.0,2019.0
441,106.3,69.75,27.0,1973.0,2019.0
442,146.6,68.607,27.4,1952.0,2019.0
443,306.3,68.363,23.42,1998.0,2019.0
444,132.0,69.583,28.85,2008.0,2011.0
445,165.0,66.367,29.31,2008.0,2019.0
446,93.0,66.533,24.65,2008.0,2019.0
447,107.4,66.583,26.01,2008.0,2019.0
448,208.0,66.717,27.16,2008.0,2019.0
449,180.0,67.283,28.18,2008.0,2019.0
450,248.8,68.083,27.18,2008.0,2019.0
451,438.0,68.433,27.45,2008.0,2019.0
452,254.9,68.483,28.3,2008.0,2019.0
453,360.0,67.75,29.61,2008.0,2019.0
454,762.0,68.067,24.03,2008.0,2019.0
455,565.5,67.967,24.11,2008.0,2019.0
456,252.6,67.967,23.68,1973.0,2019.0
457,349.5,67.983,24.25,2008.0,2019.0
458,22.0,70.083,27.9,2008.0,2019.0
459,123.5,69.067,27.5,2008.0,2019.0
460,5.2,60.383,22.55,2008.0,2019.0
461,87.5,60.6,24.8,2008.0,2019.0
462,33.0,60.7,26.81,2008.0,2019.0
463,5.0,60.533,27.66,2008.0,2019.0
464,90.0,62.233,30.35,2008.0,2019.0
465,31.7,62.933,22.48,2008.0,2019.0
466,207.6,63.833,27.21,2008.0,2019.0
467,123.0,68.85,28.3,2008.0,2019.0
468,183.5,67.395,26.61,1917.0,2019.0
469,85.9,66.767,23.96,1973.0,2019.0
470,196.6,66.565,25.83,1973.0,2019.0
471,82.3,66.5,25.71,2008.0,2019.0
472,221.7,66.833,28.66,1996.0,2019.0
473,83.0,62.317,27.9,2013.0,2019.0
474,12.0,64.933,25.36,2012.0,2019.0
475,8.1,63.85,23.11,2013.0,2018.0
476,285.0,68.9,25.73,2013.0,2019.0
477,106.0,69.583,28.9,2013.0,2019.0
478,341.0,64.667,28.05,2013.0,2019.0
479,181.0,67.65,24.9,2013.0,2019.0
480,3.1,65.667,24.51,2004.0,2019.0
481,19.0,65.383,24.1,2004.0,2019.0
482,18.6,65.782,24.59,1952.0,2019.0
483,120.0,65.417,26.96,1996.0,2019.0
484,362.8,66.167,29.15,2008.0,2019.0
485,264.0,65.988,29.23,1909.0,2019.0
486,2.0,64.667,24.4,2008.0,2019.0
487,7.3,65.033,24.56,2004.0,2019.0
488,6.0,65.033,24.8,1973.0,2019.0
489,76.8,64.061,24.71,1992.0,1995.0
490,14.3,64.93,25.35,1906.0,2019.0
491,3.8,65.0,25.4,2008.0,2019.0
492,224.0,64.9,29.01,1973.0,2001.0
493,9.0,65.85,24.16,2013.0,2019.0
494,161.0,65.983,26.36,2013.0,2019.0
495,340.0,68.0,24.23,2013.0,2019.0
496,161.5,64.217,27.75,2013.0,2019.0
497,121.5,69.05,27.75,2013.0,2019.0
498,225.2,64.933,28.75,2001.0,2019.0
499,76.0,69.75,27.01,2013.0,2019.0
500,147.2,64.285,27.69,1916.0,2019.0
501,25.3,63.721,23.14,1960.0,2019.0
502,12.0,60.167,22.75,2013.0,2019.0
503,5.0,64.333,23.45,1901.0,2019.0
