elev,lat,lon,yrst,yrstp,notes,reference
214.9,64.55,18.71,1998,2019,ISD,
575,62.8,13.06,1973,1977,ISD,
10.4,63.05,17.76,1977,2019,ISD,
349,64.58,16.85,2002,2002,ISD,
107.9,63.41,18.99,1979,2019,ISD,
184,63.15,16.16,1977,2004,ISD,
7.3,63.79,20.28,1977,2019,ISD,
36,61.27,17.1,1996,2012,ISD,
25,63.33,20.18,1973,2001,ISD,
10,64.92,21.23,1975,2003,ISD,
47.9,64.63,21.07,1979,2019,ISD,
36,64.48,21.58,1935,2003,ISD,
869,61.88,12.85,1973,2019,ISD,
583,62.8,13.06,1977,2005,ISD,
110,58.1,14.4,1973,1973,ISD,
362,62.05,14.4,2009,2019,ISD,
19,63.05,17.76,2002,2004,ISD,
46,64.63,21.08,1974,1974,ISD,
107,63.4,18.96,1973,1974,ISD,
4.9,62.53,17.44,1977,2019,ISD,
33,62.37,17.53,1984,2005,ISD,
68,60.6,16.95,1973,1974,ISD,
153,60.43,15.5,1973,1973,ISD,
40,59.35,16.71,1980,2003,ISD,
36,61.27,17.1,1977,1998,ISD,
27,61.45,17.16,2004,2008,ISD,
5,58.58,16.25,1973,1977,ISD,
23,55.92,14.08,1973,1973,ISD,
75,59.67,12.58,1977,2004,ISD,
306,60.68,13.7,2001,2019,ISD,
308,60.68,13.7,1977,2011,ISD,
72.2,59.68,12.63,1996,2019,ISD,
46,59.37,13.46,1985,2008,ISD,
107.3,59.45,13.33,1935,2019,ISD,
46,59.37,13.46,1984,2006,ISD,
57.3,59.22,15.03,1991,2019,ISD,
193.2,60.96,14.51,1991,2019,ISD,
119.8,60.16,12.99,2007,2019,ISD,
153.3,60.42,15.51,1979,2019,ISD,
33,59.27,15.33,1935,1982,ISD,
10.1,59.39,15.92,2007,2007,ISD,
6.4,59.59,16.63,1977,2019,ISD,
15,59.38,16.45,2001,2019,ISD,
22,60.88,17.91,1977,2002,ISD,
16,60.72,17.16,1996,2019,ISD,
20.7,59.9,17.58,1935,2019,ISD,
41.8,59.65,17.91,1977,2019,ISD,
13,59.87,17.63,2006,2019,ISD,
