elev,lat,lon,yrst,yrstp,notes,reference
320,41.2,-96.11,2004,2005,ISD,
223.7,40.95,-91.51,2006,2019,ISD,
224,40.95,-91.51,2004,2005,ISD,
110.6,33.1,-94.96,2006,2019,ISD,
111,33.1,-94.96,2004,2005,ISD,
269.8,41.4,-92.94,2006,2019,ISD,
270,41.4,-92.95,2004,2005,ISD,
989.1,35.61,-100.99,2006,2019,ISD,
989,35.62,-100.98,2004,2005,ISD,
128.9,31.78,-95.7,2006,2019,ISD,
129,31.78,-95.7,2004,2005,ISD,
889.4,36.41,-100.75,2006,2019,ISD,
889,36.42,-100.75,2004,2005,ISD,
24.1,27.78,-97.69,2006,2019,ISD,
24,27.78,-97.68,2004,2005,ISD,
64.6,38.4,-77.45,2006,2019,ISD,
64,38.4,-77.45,2004,2005,ISD,
342.3,33.11,-98.55,2006,2019,ISD,
342,33.11,-98.55,2004,2005,ISD,
140.8,39.02,-87.65,2006,2019,ISD,
141,39.02,-87.65,2004,2005,ISD,
260.3,32.35,-97.43,2006,2019,ISD,
260,32.35,-97.43,2004,2005,ISD,
193.6,45.65,-84.51,2006,2019,ISD,
195,45.65,-84.51,2004,2005,ISD,
648.3,48.3,-116.56,2006,2019,ISD,
650,48.3,-116.56,2004,2005,ISD,
516.6,30.24,-98.91,2006,2019,ISD,
516.6,30.24,-98.9,2004,2005,ISD,
160.3,40.44,-75.38,2006,2019,ISD,
160,40.43,-75.38,2004,2005,ISD,
257.6,42.22,-92.02,2006,2019,ISD,
258,42.22,-92.03,2004,2005,ISD,
272.8,44.89,-91.86,2006,2019,ISD,
273,44.88,-91.86,2004,2005,ISD,
498.4,39,-80.27,2006,2019,ISD,
498,39,-80.26,2004,2005,ISD,
438.6,34.11,-117.68,2017,2019,ISD,
161.2,38.61,-87.72,2006,2019,ISD,
131,38.6,-87.73,2004,2005,ISD,
79.9,36.23,-90.03,2015,2019,ISD,
162.5,33.9,-117.6,2006,2019,ISD,
162,33.9,-117.6,2008,2018,ISD,
164.3,39.17,-77.16,2007,2019,ISD,
164.3,39.17,-77.16,2008,2008,ISD,
737,32.15,-111.16,2007,2019,ISD,
736.7,32.14,-111.17,2008,2018,ISD,
192.6,44.63,-86.2,2006,2019,ISD,
193,44.63,-86.2,2004,2005,ISD,
471.8,35.86,-98.42,2006,2019,ISD,
472,35.87,-98.42,2004,2005,ISD,
251.8,44.33,-89.02,2006,2019,ISD,
252,44.33,-89.01,2004,2005,ISD,
373.7,42.73,-95.55,2006,2019,ISD,
374,42.73,-95.55,2005,2005,ISD,
2159.8,42.8,-109.8,2006,2019,ISD,
2160,42.8,-109.8,2004,2005,ISD,
32.6,30.75,-92.68,2005,2019,ISD,
206.4,33.6,-83.13,2006,2019,ISD,
206,33.6,-83.13,2005,2005,ISD,
117,33.15,-83.24,2006,2019,ISD,
117,33.15,-83.24,2005,2005,ISD,
256,41.23,-92.49,2006,2019,ISD,
256,41.23,-92.5,2005,2005,ISD,
1,28.17,-89.22,2005,2011,ISD,
351.7,36.61,-83.73,2006,2019,ISD,
352,36.62,-83.73,2005,2005,ISD,
436.8,34.7,-99.33,2005,2019,ISD,
236.2,39.6,-78.76,2006,2019,ISD,
236,39.62,-78.76,2005,2005,ISD,
492.6,35.54,-98.93,2005,2019,ISD,
279.2,35.95,-96.77,2006,2019,ISD,
279,35.95,-96.76,2005,2005,ISD,
431.9,35.47,-98,2005,2019,ISD,
312.1,35.28,-96.67,2005,2019,ISD,
95.7,31.04,-86.31,2006,2019,ISD,
137.5,31.85,-86.61,2006,2019,ISD,
86.9,31.95,-85.12,2006,2019,ISD,
139.9,42.07,-124.29,2005,2019,ISD,
140,42.07,-124.29,2005,2018,ISD,
388.6,38.69,-80.65,2006,2009,ISD,
387.1,38.69,-80.65,2005,2005,ISD,
359.7,45.37,-94.74,2005,2019,ISD,
359.7,45.37,-94.74,2008,2018,ISD,
494.7,43.99,-95.78,2005,2019,ISD,
1898.6,43.74,-111.09,2006,2019,ISD,
251.2,41.96,-85.59,2006,2019,ISD,
46.9,28,-82.16,2006,2019,ISD,
2.4,27.92,-82.44,2006,2019,ISD,
202.7,46.01,-83.74,2006,2019,ISD,
314.6,34.23,-86.25,2006,2019,ISD,
0,35.63,-91.16,2006,2019,ISD,
72.8,35.64,-91.17,2008,2018,ISD,
327.1,41.03,-80.41,2006,2019,ISD,
326.7,41.03,-80.41,2008,2018,ISD,
293.5,36.86,-84.85,2006,2019,ISD,
4.9,30.29,-87.67,2006,2019,ISD,
28,63.49,-162.11,2006,2019,ISD,
28,63.49,-162.11,2008,2018,ISD,
54.3,30.7,-87.02,2007,2019,ISD,
5.2,38.97,-76.33,2007,2019,ISD,
5,38.97,-76.33,2008,2018,ISD,
4113.3,39.8,-105.76,2007,2019,ISD,
4113,39.8,-105.76,2008,2018,ISD,
344.1,45.12,-95.13,2007,2019,ISD,
343,45.12,-95.13,1996,2018,ISD,
1130,32.77,-103.21,2007,2012,ISD,
164.3,47.1,-122.28,2007,2019,ISD,
164,47.1,-122.28,2008,2018,ISD,
43.3,38.32,-76.55,2007,2013,ISD,
82.3,28.35,-97.71,2007,2019,ISD,
82,28.35,-97.71,2008,2018,ISD,
57.3,31.06,-82.76,2007,2019,ISD,
56.7,31.06,-82.77,2008,2018,ISD,
1153.1,34.85,-102.33,2007,2019,ISD,
1153.7,34.86,-102.32,2008,2018,ISD,
55.8,34.1,-93.06,2013,2019,ISD,
55.5,34.1,-93.06,2008,2018,ISD,
131.1,28.95,-98.51,2007,2019,ISD,
131.1,28.95,-98.52,2008,2018,ISD,
5.5,27.91,-97.21,2007,2007,ISD,
233.2,39.22,-82.23,2007,2019,ISD,
233.5,39.21,-82.23,2008,2018,ISD,
261.8,44.04,-89.3,2007,2013,ISD,
59.7,29.95,-81.98,2008,2014,ISD,
157.3,35.6,-92.45,2007,2019,ISD,
157,35.6,-92.45,2008,2018,ISD,
242.3,38.78,-93.8,2007,2008,ISD,
304.2,33.86,-98.49,2007,2007,ISD,
304.2,33.85,-98.48,2007,2019,ISD,
304,33.85,-98.48,2008,2008,ISD,
395.9,41.41,-96.1,2009,2019,ISD,
403.9,41.42,-96.11,2008,2018,ISD,
1.2,38.15,-122.55,2014,2019,ISD,
0.6,38.15,-122.55,2007,2014,ISD,
25,39.93,-74.29,2007,2019,ISD,
25,39.93,-74.3,2008,2018,ISD,
201.2,39.98,-75.86,2007,2019,ISD,
201,39.98,-75.86,2008,2018,ISD,
582,34.85,-83.98,2008,2019,ISD,
2554.2,36.42,-105.29,2009,2019,ISD,
2554.2,36.42,-105.29,2008,2018,ISD,
308.8,41.83,-94.16,2009,2019,ISD,
309,41.83,-94.16,2008,2018,ISD,
284.1,34.27,-87.6,2009,2019,ISD,
284,34.27,-87.6,2008,2018,ISD,
363,40.33,-82.51,2009,2019,ISD,
363,40.33,-82.51,2008,2018,ISD,
253.3,43.43,-86,2009,2019,ISD,
253,43.43,-86,2008,2018,ISD,
1013.5,37.58,-101.73,2016,2019,ISD,
971.1,39.43,-101.04,2012,2019,ISD,
1816.9,38.5,-104.91,2013,2013,ISD,
954.9,37.16,-101.37,2015,2019,ISD,
251.2,37.16,-95.77,2010,2019,ISD,
251.5,37.16,-95.77,2010,2018,ISD,
613,38.21,-99.08,2017,2018,ISD,
726.3,39.85,-99.89,2018,2018,ISD,
928.1,39.11,-100.81,2019,2019,ISD,
290.2,37.45,-94.73,2010,2019,ISD,
289.6,37.45,-94.73,2010,2018,ISD,
1040.3,39.77,-101.8,2012,2019,ISD,
1039.7,39.76,-101.79,2018,2018,ISD,
903.1,38.47,-100.88,2019,2019,ISD,
934.8,37.6,-101.37,2018,2019,ISD,
133.8,37.36,-87.4,2011,2013,ISD,
280.7,37.36,-85.3,2018,2019,ISD,
203.9,37.81,-85.5,2017,2019,ISD,
176.2,36.67,-88.37,2010,2019,ISD,
312.1,37.58,-84.77,2009,2019,ISD,
311.5,37.58,-84.77,2008,2018,ISD,
166.4,38.56,-82.73,2014,2019,ISD,
236.2,37.69,-85.92,2016,2019,ISD,
278.3,38.54,-83.74,2014,2019,ISD,
305.1,37.63,-84.33,2011,2019,ISD,
304.8,37.63,-84.33,2010,2018,ISD,
311.2,38.07,-83.98,2012,2019,ISD,
310.6,38.06,-83.98,2018,2018,ISD,
372.5,37.75,-82.63,2012,2019,ISD,
313.9,35.4,-96.83,2018,2018,ISD,
449,37.56,-82.56,2014,2019,ISD,
358.8,36.8,-84.2,2016,2019,ISD,
15.2,29.95,-90.08,2012,2015,ISD,
36.6,30.82,-89.86,2012,2019,ISD,
36.3,30.81,-89.86,2018,2018,ISD,
23.2,30.56,-92.09,2013,2019,ISD,
556.3,44.99,-70.66,2017,2019,ISD,
350.5,40.35,-94.91,2017,2019,ISD,
234.7,39.73,-91.44,2012,2019,ISD,
402.6,37.65,-92.65,2017,2019,ISD,
278.9,38.61,-94.34,2016,2019,ISD,
401.1,36.9,-94.01,2009,2019,ISD,
401,36.9,-94.01,2010,2018,ISD,
89.9,36.6,-89.99,2016,2019,ISD,
264.3,39.46,-92.42,2017,2019,ISD,
237.4,39.1,-93.2,2014,2019,ISD,
250.9,39.16,-91.81,2016,2019,ISD,
285.3,38.35,-93.34,2017,2019,ISD,
96,36.9,-89.56,2015,2019,ISD,
386.2,46.22,-97.63,2014,2019,ISD,
385.9,46.22,-97.64,2010,2018,ISD,
362.1,44.57,-72.01,2009,2019,ISD,
362,44.57,-72.01,2008,2008,ISD,
278.9,44.88,-72.23,2009,2019,ISD,
283.5,44.89,-72.22,2008,2018,ISD,
70.1,44.93,-73.1,2008,2019,ISD,
72.2,37.4,-77.51,2011,2019,ISD,
72.2,37.4,-77.51,2010,2018,ISD,
7,36.78,-76.45,2011,2019,ISD,
7,36.78,-76.44,2018,2018,ISD,
41.2,37.85,-76.88,2009,2019,ISD,
41,37.85,-76.88,2008,2018,ISD,
160.9,33.57,-86.05,2012,2019,ISD,
147.2,33.9,-87.31,2011,2019,ISD,
146.9,33.9,-87.31,2018,2018,ISD,
213.1,33.31,-86.92,2016,2019,ISD,
173.4,33.17,-86.3,2014,2019,ISD,
1896.2,42.71,-110.94,2013,2019,ISD,
2220.5,41.82,-110.55,2013,2019,ISD,
2145.5,41.39,-110.4,2013,2019,ISD,
2144,41.39,-110.1,2012,2012,ISD,
1552,44.87,-108.79,2014,2019,ISD,
2138.5,41.44,-106.82,2013,2019,ISD,
2137.3,41.45,-106.82,2018,2018,ISD,
2224.1,43.55,-109.69,2013,2019,ISD,
2224.1,43.55,-109.69,2018,2018,ISD,
1657.8,38.43,-105.1,2012,2013,ISD,
2421.9,38.7,-106.07,2010,2019,ISD,
2423,38.82,-106.11,2010,2010,ISD,
1810.5,38.24,-108.56,2012,2019,ISD,
1811,38.23,-108.56,2008,2008,ISD,
1583.1,38.78,-108.06,2012,2019,ISD,
1583,38.78,-108.06,2018,2018,ISD,
2294.2,38.53,-106.05,2009,2019,ISD,
2294,38.53,-106.05,2010,2018,ISD,
1612.1,40.03,-105.21,2010,2019,ISD,
1612,40.04,-105.22,2010,2018,ISD,
1564.2,40.02,-105.05,2014,2019,ISD,
1564,40.02,-105.05,2010,2014,ISD,
1393.2,40.33,-103.8,2012,2019,ISD,
1392.3,40.33,-103.8,2018,2018,ISD,
2500.3,40.09,-105.91,2017,2019,ISD,
1137.2,40.57,-102.26,2010,2019,ISD,
1136.9,40.57,-102.27,2018,2018,ISD,
1541.1,40.17,-105.16,2011,2019,ISD,
1541,40.17,-105.16,2010,2018,ISD,
2335.1,37.28,-107.05,2009,2019,ISD,
2335,37.28,-107.05,2010,2018,ISD,
137.8,34.38,-89.55,2009,2019,ISD,
138,34.38,-89.53,2008,2018,ISD,
375.2,30.5,-97.96,2009,2019,ISD,
375,30.5,-97.96,2008,2018,ISD,
268.2,41.3,-85.06,2009,2019,ISD,
268.2,41.31,-85.06,2008,2018,ISD,
1231.1,40.62,-103.26,2010,2019,ISD,
1230.8,40.62,-103.26,2018,2018,ISD,
127.1,41.38,-72.5,2009,2019,ISD,
126.8,41.38,-72.5,2008,2018,ISD,
1814.8,39.6,-116,2012,2013,ISD,
1432.3,39.18,-119.73,2010,2019,ISD,
1431.6,39.19,-119.73,2018,2018,ISD,
1440.5,39,-119.75,2014,2019,ISD,
2.1,40.7,-74,2016,2019,ISD,
610.2,35.43,-99.4,2014,2019,ISD,
610.2,35.43,-99.39,2018,2018,ISD,
174,34.03,-95.53,2012,2019,ISD,
174,34.04,-95.54,2018,2018,ISD,
272.2,36.18,-96.15,2013,2019,ISD,
272,36.17,-96.15,2018,2018,ISD,
928,46.8,-120.16,2008,2017,ISD,
1718.2,40.48,-111.42,2010,2019,ISD,
1288.1,41.55,-112.06,2014,2019,ISD,
1483.8,37.01,-112.53,2013,2019,ISD,
1316.1,40.61,-112.35,2015,2019,ISD,
281,40.03,-86.25,2014,2019,ISD,
281,40.03,-86.25,2008,2013,ISD,
21,38.53,-121.78,2009,2019,ISD,
21,38.53,-121.78,2008,2018,ISD,
135,32.15,-94.85,2009,2019,ISD,
134.7,32.15,-94.85,2008,2018,ISD,
391.1,32.72,-98.89,2009,2019,ISD,
391.4,32.72,-98.89,2008,2018,ISD,
235,29.34,-98.85,2008,2013,ISD,
7,40.62,-74.25,2017,2019,ISD,
7,40.62,-74.24,2008,2016,ISD,
406.3,45.9,-94.87,2008,2013,ISD,
284.1,45,-92.85,2008,2013,ISD,
129.2,26.97,-99.25,2009,2019,ISD,
129,26.97,-99.25,2008,2018,ISD,
367,45.99,-95.99,2008,2013,ISD,
312.1,42.68,-90.45,2009,2019,ISD,
312.1,42.69,-90.44,2008,2018,ISD,
15.2,29.98,-92.08,2009,2019,ISD,
4.6,29.98,-92.08,2008,2018,ISD,
136,34.38,-89.53,2008,2008,ISD,
248.1,44.78,-88.55,2009,2019,ISD,
248,44.78,-88.55,2008,2018,ISD,
28,30.46,-87.87,2009,2019,ISD,
27.7,30.46,-87.87,2008,2018,ISD,
208.2,41.33,-86.66,2009,2019,ISD,
208.5,41.33,-86.66,2008,2018,ISD,
69.2,29.72,-95.38,2009,2019,ISD,
69,29.72,-95.38,2008,2018,ISD,
173.1,34.3,-81.63,2009,2019,ISD,
173,34.3,-81.63,2010,2018,ISD,
212.1,34.5,-81.95,2009,2019,ISD,
212,34.5,-81.95,2010,2018,ISD,
22.3,33.18,-80.03,2009,2019,ISD,
22,33.18,-80.03,2010,2018,ISD,
200.3,34.78,-81.2,2009,2019,ISD,
200,34.78,-81.2,2010,2018,ISD,
161.2,33.65,-81.68,2009,2019,ISD,
160.9,33.65,-81.68,2010,2018,ISD,
75.3,33.25,-81.38,2009,2019,ISD,
75,33.26,-81.38,2010,2018,ISD,
92.1,34.28,-80.56,2009,2019,ISD,
92,34.28,-80.56,2010,2018,ISD,
20.1,33.72,-79.85,2009,2019,ISD,
73.2,34.72,-79.95,2009,2019,ISD,
73,34.72,-79.95,2010,2018,ISD,
5.2,32.7,-80,2010,2019,ISD,
5.2,32.7,-80,2009,2018,ISD,
148.1,34.72,-80.85,2009,2019,ISD,
148.1,34.72,-80.85,2010,2018,ISD,
28,34.18,-79.33,2009,2019,ISD,
28,34.18,-79.33,2010,2018,ISD,
31.1,32.92,-80.63,2013,2019,ISD,
29.9,32.92,-80.64,2009,2012,ISD,
55.2,34,-80.36,2009,2019,ISD,
55.5,34,-80.36,2010,2018,ISD,
38.1,32.41,-80.63,2009,2019,ISD,
3,32.4,-80.63,2010,2018,ISD,
10.1,33.83,-79.12,2009,2019,ISD,
10.4,33.83,-79.12,2010,2018,ISD,
37.2,38.91,-121.35,2009,2019,ISD,
646.2,38.03,-120.41,2009,2019,ISD,
645.6,38.03,-120.41,2010,2018,ISD,
397.2,36.53,-93.2,2009,2019,ISD,
397,36.53,-93.2,2010,2018,ISD,
51.2,29.8,-95.9,2009,2019,ISD,
50.6,29.8,-95.9,2018,2018,ISD,
1877.6,41.13,-104.86,2009,2019,ISD,
335.6,33.6,-97.77,2009,2013,ISD,
485.5,36.37,-82.17,2009,2013,ISD,
523,44.02,-97.08,2009,2019,ISD,
523.3,44.02,-97.08,2010,2018,ISD,
314.3,36.75,-97.35,2009,2019,ISD,
314,36.75,-97.35,2010,2018,ISD,
845.2,35.88,-101.03,2009,2019,ISD,
845,35.88,-101.03,2009,2018,ISD,
183.2,35.28,-95.1,2009,2019,ISD,
183,35.28,-95.1,2010,2018,ISD,
413,35.48,-97.81,2009,2019,ISD,
413,35.48,-97.81,2009,2018,ISD,
194.2,43.66,-84.26,2009,2019,ISD,
193.5,43.66,-84.26,2010,2018,ISD,
45.1,34.62,-79.73,2009,2019,ISD,
44.8,34.62,-79.73,2009,2018,ISD,
17.1,33.06,-80.27,2009,2019,ISD,
17.1,33.06,-80.27,2010,2018,ISD,
111.3,34.4,-80.11,2009,2019,ISD,
110.9,34.4,-80.11,2010,2018,ISD,
176.2,34.32,-81.1,2009,2019,ISD,
175.9,34.32,-81.1,2010,2018,ISD,
2035.2,35.3,-112.2,2009,2019,ISD,
2035.5,35.3,-112.19,2010,2018,ISD,
251.2,38.35,-93.68,2009,2019,ISD,
250.5,38.36,-93.68,2009,2018,ISD,
21,29.5,-95.47,2009,2019,ISD,
20.7,29.51,-95.47,2010,2018,ISD,
1055.2,44.1,-121.2,2009,2019,ISD,
1054.6,44.1,-121.2,2010,2018,ISD,
333.2,30.53,-98.36,2009,2019,ISD,
1899.5,38.8,-104.51,2012,2018,ISD,
2114,38.75,-104.85,2012,2019,ISD,
374.6,43.24,-93.62,2009,2019,ISD,
375,43.23,-93.78,2009,2018,ISD,
311.2,33.42,-112.68,2013,2019,ISD,
311.2,33.42,-112.68,2009,2012,ISD,
787.3,38.72,-120.75,2009,2019,ISD,
787.3,38.72,-120.75,2010,2018,ISD,
20.1,37.51,-122.5,2009,2019,ISD,
370,31.11,-98.19,2009,2019,ISD,
188.1,30.4,-97.56,2009,2019,ISD,
187.5,30.4,-97.56,2010,2018,ISD,
44.2,36.33,-77.63,2009,2019,ISD,
44.2,36.33,-77.63,2010,2018,ISD,
311.2,40.23,-83.35,2009,2019,ISD,
2057.1,38.36,-119.51,2009,2019,ISD,
2067.2,38.35,-119.51,2009,2018,ISD,
89.3,36.4,-90.64,2009,2013,ISD,
3.1,28.87,-82.56,2009,2019,ISD,
2.7,28.87,-82.57,2010,2018,ISD,
282.9,43.11,-89.53,2009,2013,ISD,
311,46.02,-92.89,2009,2013,ISD,
379.2,45.71,-94.93,2009,2013,ISD,
726,30.74,-101.2,2009,2019,ISD,
725.7,30.74,-101.2,2010,2018,ISD,
249.3,42.94,-85.06,2009,2013,ISD,
393.8,43.58,-90.91,2009,2013,ISD,
224,28.08,-87.98,2009,2016,ISD,
223.7,28.08,-87.98,2009,2010,ISD,
224,27.2,-92.2,2009,2019,ISD,
223.7,27.2,-92.2,2009,2018,ISD,
224,28.6,-91.2,2009,2019,ISD,
223.7,28.6,-91.2,2009,2018,ISD,
223.7,28.22,-89.61,2009,2014,ISD,
224,27.82,-94.31,2009,2019,ISD,
223.7,27.82,-94.31,2009,2018,ISD,
224,27.3,-93.53,2009,2019,ISD,
223.7,27.3,-93.53,2009,2018,ISD,
33.2,31.55,-81.88,2010,2019,ISD,
32.9,31.55,-81.88,2010,2018,ISD,
10.1,29.47,-81.2,2009,2019,ISD,
354.2,33.63,-85.15,2011,2019,ISD,
353.9,33.63,-85.15,2010,2018,ISD,
972,36.53,-115.57,1996,2011,ISD,
403.9,38.15,-120.64,2016,2019,ISD,
1455.1,42.05,-104.93,2016,2019,ISD,
240.5,39.61,-77,2011,2019,ISD,
240,39.61,-77,2010,2010,ISD,
339.9,41.05,-93.68,2010,2019,ISD,
338,41.05,-93.68,2010,2018,ISD,
221.3,38.98,-82.57,2019,2019,ISD,
232.6,41.04,-83.98,2016,2019,ISD,
108.2,31.43,-83.48,2011,2019,ISD,
108.2,31.43,-83.48,2010,2018,ISD,
307.2,40.2,-84.53,2010,2019,ISD,
306.9,40.2,-84.53,2018,2018,ISD,
393.2,33.91,-84.94,2011,2019,ISD,
393,33.91,-84.94,2010,2018,ISD,
274.9,38.67,-78.5,2011,2013,ISD,
36.3,29.12,-89.55,2010,2019,ISD,
224,29.12,-89.55,2010,2018,ISD,
224,28.64,-89.79,2010,2019,ISD,
224,28.65,-89.8,2010,2018,ISD,
224,28.43,-92.88,2011,2018,ISD,
224,28.43,-92.88,2010,2018,ISD,
224,29.48,-93.63,2010,2019,ISD,
224,29.48,-93.63,2018,2018,ISD,
224,29.12,-91.86,2010,2019,ISD,
224,29.12,-91.86,2010,2018,ISD,
224,29.47,-92.36,2010,2013,ISD,
224,29.47,-92.36,2010,2010,ISD,
1584.8,34.65,-106.83,2010,2019,ISD,
0,28.06,-95.87,2010,2019,ISD,
0,27.84,-96.01,2010,2018,ISD,
0.3,28.58,-94.97,2010,2016,ISD,
0,28.58,-94.97,2010,2010,ISD,
0.3,27.96,-93.67,2011,2019,ISD,
0,27.96,-93.67,2010,2018,ISD,
34.1,28.5,-95.71,2010,2019,ISD,
0,28.5,-95.71,2010,2018,ISD,
0.3,27.28,-96.73,2010,2013,ISD,
0,27.28,-96.73,2010,2010,ISD,
9,27.73,-96.18,2010,2019,ISD,
422.1,29.72,-98.69,2010,2013,ISD,
773.3,43.58,-116.52,2010,2019,ISD,
17.4,30.35,-85.78,2011,2019,ISD,
21,30.36,-85.79,2010,2011,ISD,
241.1,41.07,-86.18,2010,2019,ISD,
240.8,41.07,-86.18,2010,2018,ISD,
490.1,47.45,-99.15,2010,2019,ISD,
489.8,47.45,-99.15,2018,2018,ISD,
80.2,30.9,-83.88,2010,2019,ISD,
80.5,30.9,-83.88,2010,2018,ISD,
85,32.65,-93.29,2011,2019,ISD,
84.7,32.65,-93.29,2018,2018,ISD,
671.2,35.95,-114.86,2011,2019,ISD,
671,35.95,-114.86,2010,2018,ISD,
236.2,28.21,-100.01,2010,2019,ISD,
235.6,28.21,-100.01,2010,2018,ISD,
4.3,26.07,-97.15,2010,2017,ISD,
3,26.07,-97.15,2010,2010,ISD,
309.1,34.82,-82.7,2010,2019,ISD,
308.8,34.81,-82.7,2010,2018,ISD,
101.2,27.35,-94.63,2011,2019,ISD,
101,27.35,-94.63,2010,2018,ISD,
2225,41.73,-106.46,2010,2019,ISD,
14.3,48.35,-122.66,1996,2019,ISD,
192.3,45.67,-121.53,2006,2007,ISD,
1110.1,46.25,-114.12,1996,2019,ISD,
430.1,36.65,-83.21,2011,2019,ISD,
430.1,36.65,-83.21,2010,2018,ISD,
101.2,33.43,-88.84,2013,2019,ISD,
101.2,33.43,-88.84,2010,2012,ISD,
517.3,31.84,-99.4,2010,2019,ISD,
517.2,31.84,-99.4,2018,2018,ISD,
1889.5,34.99,-106,2010,2013,ISD,
179.2,34.66,-87.34,2010,2013,ISD,
218.5,35.51,-86.8,2018,2019,ISD,
72.5,31.67,-89.17,2012,2019,ISD,
100.3,36.77,-77.79,2014,2019,ISD,
166.1,31.64,-96.51,2013,2019,ISD,
165.8,31.64,-96.51,2018,2018,ISD,
515.4,38.34,-98.22,2018,2019,ISD,
75.3,32.3,-90.41,2011,2019,ISD,
75.3,32.3,-90.41,2018,2018,ISD,
256.6,39.63,-86.81,2014,2017,ISD,
197.8,46.79,-90.75,2016,2019,ISD,
1540.2,39.67,-119.87,2011,2019,ISD,
1539.2,39.67,-119.87,2018,2018,ISD,
2095.2,38.95,-104.57,2011,2019,ISD,
2095.2,38.95,-104.57,2010,2018,ISD,
555,48.88,-99.62,2010,2019,ISD,
555.3,48.88,-99.62,2018,2018,ISD,
840,46.93,-103.98,2011,2019,ISD,
840,46.93,-103.98,2010,2018,ISD,
272.2,48.78,-97.63,2011,2019,ISD,
271.9,48.78,-97.63,2010,2018,ISD,
198.1,34.69,-86,2011,2019,ISD,
198.1,34.69,-86,2010,2018,ISD,
450.2,48.48,-99.23,2010,2019,ISD,
255.1,44.25,-90.85,2010,2019,ISD,
594.1,48.93,-103.29,2011,2019,ISD,
594.4,48.93,-103.29,2010,2018,ISD,
490.1,48.75,-98.39,2010,2013,ISD,
691,48.38,-102.89,2010,2019,ISD,
690.7,48.38,-102.89,2018,2018,ISD,
16.2,35.94,-77.54,2010,2019,ISD,
251.2,48.41,-97.37,2011,2019,ISD,
251.2,48.41,-97.37,2010,2018,ISD,
553.2,47.29,-101.58,2011,2019,ISD,
552.6,47.29,-101.58,2010,2018,ISD,
472.1,48.39,-100.02,2011,2019,ISD,
471.8,48.39,-100.02,2010,2018,ISD,
643.1,47.8,-103.25,2010,2019,ISD,
642.8,47.8,-103.25,2018,2018,ISD,
218.2,38.95,-92.68,2011,2019,ISD,
217.9,38.95,-92.68,2010,2018,ISD,
593.1,46.77,-100.89,2010,2019,ISD,
592.5,46.77,-100.89,2018,2018,ISD,
491,46.12,-89.88,2011,2019,ISD,
490.7,46.12,-89.88,2018,2018,ISD,
636.7,46.81,-101.86,2013,2019,ISD,
264.3,33.78,-83.69,2017,2019,ISD,
254.2,43.07,-83.26,2013,2019,ISD,
254.2,43.07,-83.27,2012,2012,ISD,
143.3,38.7,-87.13,2013,2019,ISD,
144.2,38.7,-87.13,2018,2018,ISD,
24.1,29.07,-81.28,2012,2019,ISD,
24.1,29.07,-81.28,2018,2018,ISD,
359.7,36.34,-84.16,2015,2019,ISD,
684.3,48.3,-102.4,2011,2019,ISD,
684.3,48.3,-102.4,2010,2018,ISD,
427,46.94,-98.01,2011,2019,ISD,
426.7,46.94,-98.01,2010,2018,ISD,
53,29.23,-87.78,2011,2019,ISD,
53,29.23,-87.78,2011,2018,ISD,
30.2,27.83,-91.98,2010,2019,ISD,
30,27.83,-91.98,2011,2018,ISD,
28,28.63,-91.48,2011,2019,ISD,
28,28.63,-91.48,2010,2018,ISD,
29.3,29.43,-92.98,2010,2012,ISD,
29,29.43,-92.98,2011,2011,ISD,
58.2,27.63,-90.45,2011,2019,ISD,
58,27.63,-90.45,2010,2018,ISD,
75.3,29.18,-94.51,2010,2019,ISD,
75,29.18,-94.51,2011,2018,ISD,
25,29.3,-88.84,2011,2019,ISD,
789,43.03,-100.61,2011,2018,ISD,
25.3,26.83,-96.93,2010,2014,ISD,
25,26.83,-96.93,2011,2011,ISD,
34.1,28.92,-93.3,2011,2015,ISD,
34,28.92,-93.3,2010,2011,ISD,
879,37.04,-113.51,2011,2011,ISD,
711.1,48.73,-116.29,2011,2019,ISD,
711.1,48.73,-116.29,2018,2018,ISD,
130.2,34.92,-88.6,2011,2019,ISD,
129.5,34.92,-88.6,2011,2018,ISD,
50.3,27.2,-90.03,2011,2019,ISD,
50,27.2,-90.03,2011,2018,ISD,
10.1,30.07,-94.21,2011,2019,ISD,
9.8,30.07,-94.21,2018,2018,ISD,
53,34.3,-90.51,2011,2019,ISD,
52.7,34.3,-90.51,2018,2018,ISD,
288,40.28,-83.11,2011,2019,ISD,
288,40.28,-83.11,2018,2018,ISD,
378.3,45.51,-91.98,2011,2019,ISD,
378.3,45.51,-91.98,2018,2018,ISD,
149.1,31.61,-90.4,2011,2019,ISD,
542.2,46.22,-100.24,2011,2019,ISD,
541.9,46.22,-100.24,2018,2018,ISD,
1120.7,40.1,-102.24,2011,2013,ISD,
26.5,38.26,-122.6,2011,2013,ISD,
9,35.71,-77.37,2011,2011,ISD,
406.9,46.17,-98.08,2011,2013,ISD,
489.2,47.79,-99.93,2011,2013,ISD,
373.1,41.23,-96.6,2011,2019,ISD,
373.1,41.24,-96.59,2018,2018,ISD,
108.8,32.52,-94.3,2011,2019,ISD,
342.3,40.37,-83.81,2011,2019,ISD,
342.3,40.37,-83.81,2018,2018,ISD,
20.9,30.6,-84.55,2011,2013,ISD,
5.2,30.62,-81.46,2011,2019,ISD,
