,LAPSE,LW_IN_AVG,PRESS,REF_WS,REF_Z,RH,RH_err,SW_IN_AVG,SW_OUT_AVG,SW_err,T_109,T_HMP,T_err,WS_AVG
2019-06-05 23:00:00,-0.006468,140.471246,339.971629,3.074000,6464.000000,38.861979,75.913334,0.000000,0.000000,0.000000,-21.713648,-21.713648,6.335053,2.643176
2019-06-06 00:00:00,-0.006473,137.821721,340.370772,3.331000,6464.000000,35.933751,73.744608,189.076004,151.260803,8.502860,-21.962578,-21.962578,6.281781,2.444010
2019-06-06 01:00:00,-0.006486,129.358398,340.816509,3.003000,7945.000000,29.715677,89.570640,480.106558,384.085247,20.582818,-23.899830,-23.899830,6.195968,3.302207
2019-06-06 02:00:00,-0.006497,130.172115,341.086954,3.980000,7945.000000,28.904327,101.754482,748.976872,599.181498,9.320926,-23.199785,-23.199785,6.150960,4.451213
2019-06-06 03:00:00,-0.006469,132.887601,341.300427,3.477000,7945.000000,30.330908,101.857419,987.599897,790.079917,18.307880,-22.374445,-22.374445,6.103628,3.876620
2019-06-06 04:00:00,-0.006432,140.774665,341.390951,4.230000,7945.000000,38.057758,80.127369,1179.252708,943.402167,55.545778,-21.280960,-21.280960,6.136487,4.729380
2019-06-06 05:00:00,-0.006395,140.724580,341.478758,5.451000,7945.000000,35.992880,89.789285,1312.607223,1050.085779,106.670547,-20.577475,-20.577475,6.213698,6.213289
2019-06-06 06:00:00,-0.006372,150.317720,341.459031,5.747000,7945.000000,48.008967,66.292118,1367.620500,1094.096400,124.707755,-20.186660,-20.186660,6.164340,6.520165
2019-06-06 07:00:00,-0.006358,156.750298,341.494631,6.771000,7945.000000,61.342220,48.544225,1346.537055,1077.229644,145.549958,-19.943990,-19.943990,6.171268,7.625314
2019-06-06 08:00:00,-0.006320,161.280112,341.368741,6.947000,7945.000000,59.709430,42.594629,1264.166968,1011.333574,177.045271,-19.039600,-19.039600,6.231287,7.827445
2019-06-06 09:00:00,-0.006302,190.115493,341.074690,6.795000,7945.000000,75.536125,16.166610,1101.076679,880.861343,132.079023,-18.893310,-18.893310,6.310938,7.623514
2019-06-06 10:00:00,-0.006302,171.022236,340.954010,7.404000,7945.000000,66.080682,35.766535,873.658728,698.926982,83.336823,-18.583310,-18.583310,6.294753,8.372711
2019-06-06 11:00:00,-0.006318,171.779651,340.930311,8.840000,7945.000000,68.735841,35.089395,578.037789,462.430231,32.599752,-20.157790,-20.157790,6.245228,10.010284
2019-06-06 12:00:00,-0.006325,160.166990,341.031263,7.158000,7945.000000,59.183424,46.148845,296.083468,236.866774,21.264896,-19.384125,-19.384125,6.229684,8.138054
2019-06-06 13:00:00,-0.006339,151.024340,340.950376,7.793000,7945.000000,49.405718,70.264835,16.188410,12.950728,1.470678,-20.336795,-20.336795,6.340883,8.815000
2019-06-06 14:00:00,-0.006303,,341.003797,8.900000,7945.000000,,,0.000000,0.000000,0.000000,-21.274215,-21.274215,3.700528,10.061361
2019-06-06 15:00:00,-0.006320,,341.180393,8.760000,7945.000000,,,0.000000,0.000000,0.000000,-21.969600,-21.969600,3.838779,9.830055
2019-06-06 16:00:00,-0.006328,,341.272030,8.090000,7945.000000,,,0.000000,0.000000,0.000000,-22.376840,-22.376840,3.947937,9.031656
2019-06-06 17:00:00,-0.006334,,341.146369,6.875000,7945.000000,,,0.000000,0.000000,0.000000,-22.672270,-22.672270,3.950353,7.681021
2019-06-06 18:00:00,-0.006336,,340.790323,6.883000,7945.000000,,,0.000000,0.000000,0.000000,-22.734080,-22.734080,3.898378,7.674937
2019-06-06 19:00:00,-0.006341,,340.474347,7.426000,7945.000000,,,0.000000,0.000000,0.000000,-22.928605,-22.928605,3.896278,8.307858
2019-06-06 20:00:00,-0.006341,,340.076376,8.320000,7945.000000,,,0.000000,0.000000,0.000000,-23.168605,-23.168605,3.921063,9.285904
2019-06-06 21:00:00,-0.006340,,339.990930,8.520000,8430.000000,,,0.000000,0.000000,0.000000,-25.462800,-25.462800,3.946393,9.022984
2019-06-06 22:00:00,-0.006342,,339.899079,9.230000,8430.000000,,,0.000000,0.000000,0.000000,-25.553640,-25.553640,3.998409,9.689922
2019-06-06 23:00:00,-0.006342,,339.848540,10.330000,8430.000000,,,0.000000,0.000000,0.000000,-24.923640,-24.923640,4.058209,11.001609
2019-06-07 00:00:00,-0.006347,,339.390250,11.170000,8430.000000,,,181.292913,145.034331,16.524943,-24.145740,-24.145740,3.967326,11.989708
2019-06-07 01:00:00,-0.006349,,339.636751,13.480000,8430.000000,,,461.022353,368.817883,44.608943,-24.016580,-24.016580,3.912345,14.593545
2019-06-07 02:00:00,-0.006355,,339.720314,13.590000,8430.000000,,,734.260236,587.408189,73.626368,-24.859100,-24.859100,3.984052,14.626658
2019-06-07 03:00:00,-0.006360,149.371307,340.028942,15.540000,8430.000000,58.072230,25.111613,954.945790,763.956632,120.422385,-24.251200,-24.251200,4.082763,16.718840
2019-06-07 04:00:00,-0.006375,172.083588,340.038658,13.970000,7945.000000,72.373068,56.115497,1091.650500,873.320400,189.444023,-22.609375,-22.609375,4.073151,15.718911
2019-06-07 05:00:00,-0.006380,142.267173,340.296713,14.650000,7945.000000,44.088023,91.522167,1145.895646,916.716517,312.926952,-22.703900,-22.703900,3.901777,16.596994
2019-06-07 06:00:00,-0.006371,148.395284,340.488396,13.860000,7945.000000,48.955101,85.709279,1199.015516,959.212413,338.020791,-21.445755,-21.445755,3.775305,15.964053
2019-06-07 07:00:00,-0.006369,148.105587,340.486483,12.400000,7945.000000,47.847268,80.209207,1185.538011,948.430409,320.487904,-21.193945,-21.193945,3.684307,14.367002
2019-06-07 08:00:00,-0.006386,151.929055,340.373732,12.970000,7945.000000,51.706486,72.119635,1088.427520,870.742016,245.067157,-20.709330,-20.709330,3.518222,14.969265
2019-06-07 09:00:00,-0.006413,153.883665,340.220342,13.440000,7945.000000,53.225527,74.144651,923.115921,738.492737,182.978962,-20.303765,-20.303765,3.413710,15.431281
2019-06-07 10:00:00,-0.006450,152.651539,340.074951,13.060000,7945.000000,50.402562,80.332608,712.436538,569.949230,123.755295,-19.907250,-19.907250,3.346706,14.954721
2019-06-07 11:00:00,-0.006458,149.606484,340.031523,12.830000,7945.000000,45.881219,84.242477,509.600422,407.680338,61.959314,-19.784490,-19.784490,3.391416,14.793349
2019-06-07 12:00:00,-0.006475,140.819534,339.860349,12.940000,7945.000000,34.643356,106.640767,262.479724,209.983779,33.426071,-20.059875,-20.059875,3.439295,15.205093
2019-06-07 13:00:00,-0.006488,139.378816,339.891253,13.470000,7945.000000,34.333399,109.477559,15.388319,12.310655,1.990695,-20.641640,-20.641640,3.560019,15.885897
2019-06-07 14:00:00,-0.006490,136.624098,340.113081,13.190000,7945.000000,34.436839,111.289287,0.000000,0.000000,0.000000,-22.013450,-22.013450,3.551160,15.310825
2019-06-07 15:00:00,-0.006491,134.976833,340.053009,13.160000,7945.000000,33.775679,113.011399,0.000000,0.000000,0.000000,-22.584355,-22.584355,3.540766,15.227921
2019-06-07 16:00:00,-0.006495,132.542636,340.047501,13.940000,7945.000000,31.452909,118.220063,0.000000,0.000000,0.000000,-22.947975,-22.947975,3.582898,16.046911
